[03-10 12:50:12] User: 1mperfect | Command: botinfo
[03-10 12:52:27] User: 1mperfect | Command: help
[03-10 12:54:02] User: 1mperfect | Command: reload
[03-10 12:54:06] User: 1mperfect | Command: help
[03-10 13:07:20] User: 1mperfect | Command: help
[03-10 13:24:55] User: 1mperfect | Command: botinfo
[03-10 14:29:08] User: 1mperfect | Command: serverinfo
[03-10 20:08:58] User: 1mperfect | Command: botinfo
[03-11 01:32:12] User: 1mperfect | Command: help
[03-11 10:59:42] User: 1mperfect | Command: help
[03-11 11:00:03] User: 1mperfect | Command: botinfo
[03-11 11:02:20] User: 1mperfect | Command: channelinfo
[03-11 14:27:01] User: 1mperfect | Command: help
[03-11 14:27:08] User: 1mperfect | Command: botinfo
[03-11 14:29:10] User: 1mperfect | Command: botinfo
[03-11 14:29:19] User: 1mperfect | Command: deadchat
[03-11 14:29:22] User: 1mperfect | Command: hello
[03-11 14:45:43] User: 1mperfect | Command: help
[03-11 14:45:59] User: 1mperfect | Command: reload
[03-11 14:46:07] User: 1mperfect | Command: help
[03-11 14:53:15] User: 1mperfect | Command: reload
[03-11 14:53:18] User: 1mperfect | Command: help
[03-11 14:53:36] User: 1mperfect | Command: reload
[03-11 14:53:39] User: 1mperfect | Command: help
[03-11 14:54:29] User: 1mperfect | Command: help
[03-11 14:54:38] User: 1mperfect | Command: randomfact
[03-11 14:54:42] User: 1mperfect | Command: dadjoke
[03-11 14:55:46] User: 1mperfect | Command: help
[03-11 14:56:16] User: 1mperfect | Command: rlstats
[03-11 14:56:59] User: 1mperfect | Command: rlstats
[03-11 14:59:46] User: 1mperfect | Command: reload
[03-11 14:59:57] User: 1mperfect | Command: rlstats
[03-11 15:01:31] User: 1mperfect | Command: reload
[03-11 15:01:38] User: 1mperfect | Command: rlstats
[03-11 15:09:06] User: 1mperfect | Command: reload
[03-11 15:09:16] User: 1mperfect | Command: rlstats
[03-11 19:19:45] User: 1mperfect | Command: help
[03-11 19:21:51] User: 1mperfect | Command: reload
[03-11 19:21:54] User: 1mperfect | Command: help
[03-11 19:24:45] User: 1mperfect | Command: reload
[03-11 19:24:52] User: 1mperfect | Command: help
[03-11 19:26:01] User: 1mperfect | Command: randomfact
[03-12 00:32:12] User: 1mperfect | Command: botinfo
[03-12 08:55:58] User: 1mperfect | Command: help
[03-12 08:58:20] User: 1mperfect | Command: help
[03-12 09:00:03] User: 1mperfect | Command: help
[03-12 09:01:46] User: 1mperfect | Command: botinfo
[03-12 09:39:04] User: 1mperfect | Command: reload
[03-12 09:39:08] User: 1mperfect | Command: help
[03-12 09:39:49] User: 1mperfect | Command: help
[03-12 09:42:57] User: 1mperfect | Command: help
[03-12 09:43:18] User: 1mperfect | Command: help
[03-12 09:43:22] User: 1mperfect | Command: suggest
[03-12 09:43:51] User: 1mperfect | Command: reload
[03-12 09:43:58] User: 1mperfect | Command: suggest
[03-12 09:47:42] User: 1mperfect | Command: suggest
[03-12 09:50:55] User: 1mperfect | Command: reload
[03-12 09:51:03] User: 1mperfect | Command: suggest
[03-12 09:52:32] User: 1mperfect | Command: suggest
[03-12 09:59:57] User: 1mperfect | Command: reload
[03-12 10:00:40] User: 1mperfect | Command: reload
[03-12 10:00:54] User: 1mperfect | Command: suggest
[03-12 12:37:44] User: 1mperfect | Command: randomfact
[03-12 14:05:39] User: 1mperfect | Command: help
[03-12 16:25:36] User: 1mperfect | Command: randomfact
[03-12 16:25:45] User: 1mperfect | Command: randomfact
[03-12 16:25:57] User: 1mperfect | Command: randomfact
[03-12 16:26:08] User: 1mperfect | Command: randomfact
[03-12 16:26:25] User: 1mperfect | Command: randomfact
[03-12 16:26:30] User: 1mperfect | Command: randomfact
[03-12 16:26:40] User: 1mperfect | Command: randomfact
[03-12 16:26:50] User: 1mperfect | Command: randomfact
[03-12 16:28:49] User: 1mperfect | Command: randomfact
[03-12 16:28:54] User: 1mperfect | Command: randomfact
[03-13 00:30:04] User: 1mperfect | Command: botinfo
[03-13 00:30:14] User: 1mperfect | Command: suggest
[03-13 02:52:25] User: 1mperfect | Command: botinfo
[03-13 10:25:34] User: 1mperfect | Command: botinfo
[03-13 10:25:47] User: 1mperfect | Command: help
[03-13 10:28:03] User: 1mperfect | Command: randomfact
[03-13 10:37:32] User: 1mperfect | Command: botinfo
[03-13 10:41:56] User: 1mperfect | Command: reload
[03-13 10:41:59] User: 1mperfect | Command: help
[03-13 10:43:25] User: 1mperfect | Command: reload
[03-13 10:43:30] User: 1mperfect | Command: help
[03-13 10:44:35] User: 1mperfect | Command: reload
[03-13 10:44:38] User: 1mperfect | Command: help
[03-13 10:45:47] User: 1mperfect | Command: help
[03-13 10:46:48] User: 1mperfect | Command: reload
[03-13 10:46:50] User: 1mperfect | Command: help
[03-13 10:54:10] User: 1mperfect | Command: reload
[03-13 10:54:19] User: 1mperfect | Command: help
[03-13 11:07:18] User: 1mperfect | Command: reload
[03-13 11:08:22] User: 1mperfect | Command: reload
[03-13 11:08:27] User: 1mperfect | Command: load
[03-13 11:08:31] User: 1mperfect | Command: reload
[03-13 11:08:37] User: 1mperfect | Command: help
[03-13 11:09:24] User: 1mperfect | Command: help
[03-13 11:09:48] User: 1mperfect | Command: help
[03-13 11:10:14] User: 1mperfect | Command: help
[03-13 11:10:20] User: 1mperfect | Command: randomowcharacter
[03-13 11:10:28] User: 1mperfect | Command: randomrolequeue
[03-13 11:17:15] User: 1mperfect | Command: reload
[03-13 11:17:20] User: 1mperfect | Command: randomrolequeue
[03-13 11:17:55] User: 1mperfect | Command: randomowcharacter
[03-13 11:35:28] User: 1mperfect | Command: reload
[03-13 11:35:42] User: 1mperfect | Command: help
[03-13 11:35:53] User: 1mperfect | Command: randomowcharacter
[03-13 11:36:00] User: 1mperfect | Command: randomrolequeue
[03-13 11:37:20] User: 1mperfect | Command: reload
[03-13 11:37:26] User: 1mperfect | Command: randomowcharacter
[03-13 11:37:36] User: 1mperfect | Command: randomrolequeue
[03-13 11:37:54] User: 1mperfect | Command: randomfact
[03-13 11:39:18] User: 1mperfect | Command: reload
[03-13 11:39:32] User: 1mperfect | Command: randomowcharacter
[03-13 11:43:12] User: 1mperfect | Command: reload
[03-13 11:47:00] User: 1mperfect | Command: help
[03-13 11:47:06] User: 1mperfect | Command: randomowcharacter
[03-13 11:48:22] User: 1mperfect | Command: reload
[03-13 11:48:29] User: 1mperfect | Command: randomowcharacter
[03-13 11:48:36] User: 1mperfect | Command: randomrolequeue
[03-13 11:49:07] User: 1mperfect | Command: reload
[03-13 11:49:13] User: 1mperfect | Command: randomowcharacter
[03-13 11:50:59] User: 1mperfect | Command: reload
[03-13 11:51:09] User: 1mperfect | Command: randomowcharacter
[03-13 11:52:47] User: 1mperfect | Command: reload
[03-13 11:52:53] User: 1mperfect | Command: randomowcharacter
[03-13 12:00:24] User: 1mperfect | Command: randomowcharacter
[03-13 12:00:34] User: 1mperfect | Command: randomrolequeue
[03-13 12:01:02] User: 1mperfect | Command: randomowcharacter
[03-13 12:01:11] User: 1mperfect | Command: randomowcharacter
[03-13 12:01:20] User: 1mperfect | Command: randomowcharacter
[03-13 12:10:58] User: 1mperfect | Command: randomrolequeue
[03-13 12:15:59] User: 1mperfect | Command: reload
[03-13 12:34:20] User: 1mperfect | Command: reload
[03-13 12:34:24] User: 1mperfect | Command: help
[03-13 12:34:56] User: 1mperfect | Command: load
[03-13 12:35:03] User: 1mperfect | Command: unload
[03-13 12:35:07] User: 1mperfect | Command: load
[03-13 12:35:10] User: 1mperfect | Command: help
[03-13 12:35:30] User: 1mperfect | Command: help
[03-13 12:35:49] User: 1mperfect | Command: reload
[03-13 12:36:00] User: 1mperfect | Command: help
[03-13 14:11:55] User: 1mperfect | Command: help
[03-13 14:16:38] User: 1mperfect | Command: help
[03-13 14:17:10] User: 1mperfect | Command: help
[03-13 14:17:14] User: 1mperfect | Command: playlistrandom
[03-13 14:18:02] User: 1mperfect | Command: playlistrandom
[03-13 14:22:18] User: 1mperfect | Command: reload
[03-13 14:22:21] User: 1mperfect | Command: playlistrandom
[03-13 14:22:39] User: 1mperfect | Command: playlistrandom
[03-13 14:26:13] User: 1mperfect | Command: reload
[03-13 14:26:18] User: 1mperfect | Command: playlistrandom
